,Unnamed: 0.1,Unnamed: 0,Earliest Release Date,Running Time,Genres,Title_x,Domestic Distributor,Domestic Opening,MPAA,IMDB_ID,ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,movie_id,cast_ids,order,director_ids,domestic_revenue,international_revenue,worldwide_revenue
10,10,10,,1 hr 27 min,Horror,Terror Trips (2021),,,,tt10384456,931237,149000,"[27, 53]","['Horror', 'Thriller']",tt10384456,[156344],"['LRB Productions, LLC']",6/14/22,0,87,Terror Trips,931237,"[111692, 1280334, 2354012, 1140572, 2207132, 3135565, 2810954, 2586288, 3135563]","[0, 1, 2, 3, 4, 5, 6, 7, 8]",[1986715],,,
11,11,11,,1 hr 30 min,Documentary,Four Winters: A Story of Jewish Partisan Resistance and Bravery in WW2 (2022),,,,tt1787125,1029540,900000,[99],['Documentary'],tt1787125,[200312],['New Moon Films'],9/16/22,0,90,Four Winters: A Story of Jewish Partisan Resistance and Bravery in WWII,1029540,"[4077220, 4077221, 4077222, 4077224, 4077225, 4077226, 4077227, 4077228, 4077229, 4077230]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[1044617],,,
12,12,12,"July 7, 2022 (Croatia)",1 hr 40 min,Comedy Sport,1UP (2022),,,R,tt13487922,767401,0,[35],['Comedy'],tt13487922,"[125401, 1632, 139492]","['BuzzFeed Studios', 'Lionsgate', 'CR8IV DNA']",7/15/22,0,100,1UP,767401,"[1512122, 1246972, 2648891, 1611609, 1494865, 64304, 2575782, 2969790, 1773484, 2373667, 1816892, 2664890, 2969793, 59843, 3877752, 2360766, 4226012, 4003892, 5620, 65758, 1630362, 2431619, 2354122, 2704242, 3754078, 74623, 2533430]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[74623],2379.0,2379.0,
13,13,13,,10 min,Comedy Short,Kill Me Daddy (2021),,,,tt21034278,1029558,0,[35],['Comedy'],tt21034278,[],[],9/27/22,0,10,Kill Me Daddy,1029558,"[3719262, 2997583, 3719263, 2864609]","[0, 1, 2, 3]",[2713512],,,
14,14,14,,5 min,Animation Short,Speak KDSK (2022),,,,tt21986300,1062335,0,[16],['Animation'],tt21986300,[],[],1/20/22,0,5,Speak KDSK,1062335,[],[],[3834139],,,
15,15,15,,1 hr 25 min,Comedy Romance,"Write Place, Write Time (2023)",,,,tt22054672,1029571,0,"[10770, 35, 18, 10749]","['TV Movie', 'Comedy', 'Drama', 'Romance']",tt22054672,"[161040, 140422]","['CME Winter Productions', 'Champlain Media']",6/10/22,0,90,"Write Place, Write Time",1029571,"[563643, 1510492, 3608206, 1363728, 43263, 2229319, 1565707, 3270205, 1225940, 4286646]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[175916],,,
16,16,16,"January 20, 2022 (Russia/CIS)",1 hr 17 min,Horror,Know Fear (2021),,,,tt9191700,800198,0,[27],['Horror'],tt9191700,"[163458, 156179]","['Film Valor', 'Halcyon Valor Productions']",1/20/22,0,77,Know Fear,800198,"[81321, 59690, 1969994, 1790597, 2376900, 2816193, 1981811, 1397406, 1941246]","[0, 1, 2, 3, 4, 5, 6, 7, 8]",[2274912],15067.0,15067.0,
17,17,17,,1 hr 23 min,Horror Mystery Thriller,The Latent Image (2022),,,,tt15682790,931295,0,[53],['Thriller'],tt15682790,[],[],11/11/22,0,83,The Latent Image,931295,"[2438139, 2526014, 3399471, 2133944, 2499178, 1897560, 3764747]","[0, 1, 2, 3, 4, 5, 6]",[2444988],,,
18,18,18,,5 min,Animation Short,Reunion Party (2022),,,,tt24022446,1062374,0,"[14, 16]","['Fantasy', 'Animation']",tt24022446,[],[],12/5/22,0,5,Reunion Party,1062374,[],[],[3819437],,,
19,19,19,,1 hr 20 min,Biography Documentary,Los Zuluagas (2021),,,,tt17501074,898538,0,[99],['Documentary'],tt17501074,"[143854, 113821]","['Inercia Películas', 'FilmAffair']",3/17/22,0,80,Los Zuluagas,898538,[3463324],[0],[3310309],,,
20,20,20,,,Horror Short,Hairsucker (2022),,,,tt21194248,1029657,0,[27],['Horror'],tt21194248,[88010],['Blazing Arrow Media'],7/23/22,0,4,Hairsucker,1029657,[4247542],[0],"[1574286, 1780040]",,,
21,21,21,,1 hr 41 min,Drama Sci-Fi,Karmalink (2021),,,,tt10396450,833057,0,"[878, 12, 18]","['Science Fiction', 'Adventure', 'Drama']",tt10396450,"[12142, 170222, 170223, 49937]","['XYZ Films', 'LevelK', '802 Films', 'Good Deed Entertainment']",7/15/22,0,101,Karmalink,833057,"[3102129, 3102132, 521673, 3231328, 1678180, 1732840]","[0, 1, 2, 3, 4, 5]",[3102138],,,
22,22,22,,2 hr 16 min,Comedy Music,The Gondoliers (2022),,,,tt21477982,964137,0,[],[],tt21477982,[136880],['Scottish Opera'],4/17/22,0,137,The Gondoliers,964137,"[3511528, 2705827, 3511530, 3511532, 1114623, 1683584, 3365145, 3511538, 3511540, 3511556]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[1390013],,,
23,23,23,,1 hr 36 min,Drama,Ariel: Back to Buenos Aires (2022),,,,tt11790268,1128001,0,[],[],tt11790268,[],[],10/20/23,0,96,Ariel,1128001,"[1272480, 229558, 1028517, 1956225]","[0, 1, 2, 3]",[53583],,,
24,24,24,,1 hr 22 min,,The Cry of Granuaile (2022),,,,tt16642572,964222,0,[],[],tt16642572,"[11457, 190]","['Zanzibar Films', 'Alice Productions']",3/3/22,0,82,The Cry of Granuaile,964222,"[46814, 2064777, 1168929, 3511872, 1865701, 3139328]","[0, 1, 2, 3, 4, 5]",[1300893],,,
25,25,25,,1 hr 27 min,Comedy Fantasy Horror,Bae Wolf (2022),,,,tt14715444,931510,37000,[14],['Fantasy'],tt14715444,"[169943, 194271]","['DRAX Films', 'Defiant Droductions']",1/20/22,0,87,Bae Wolf,931510,"[2810947, 3198238, 2969416, 3198239, 2381298, 1503921, 3126908, 2648077, 3483234, 2810951]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[1964445],,,
26,26,26,,1 hr 30 min,Comedy Romance,A Wall Away (2024),,,,tt12432558,997060,0,"[35, 10749]","['Comedy', 'Romance']",tt12432558,"[64610, 178562]","['WonderPhil Entertainment', 'Silicon Prairie Center Studios']",1/31/22,0,0,MyCorona,997060,"[2892294, 3615254, 3615255, 3615256, 3615257, 3615259, 1873651]","[0, 1, 2, 3, 4, 5, 6]",[1317090],,,
27,27,27,,1 hr 42 min,Biography Drama Family,Pardoned by Grace (2022),,,,tt10751150,669392,0,"[18, 10751]","['Drama', 'Family']",tt10751150,[],[],10/4/22,0,90,Pardoned by Grace,669392,"[2594876, 1198644, 4179521, 4179523, 4179524, 4179526, 3968434, 2526737, 4179528, 4179529, 4179530, 4179531, 2808999, 2311692, 4179532, 4179533, 4179536, 1851674, 4179539, 2497525, 3995346, 2132561, 1497688, 4179544, 4179545, 1840452, 2723423, 1958884, 51750, 4179548, 4179549, 4179552, 135728, 99253, 4179554, 154774, 4179557, 4179558, 2513870, 4179559, 4179561, 4179567]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",[939496],,,
28,28,28,,1 hr 16 min,Action Adventure Comedy Horror Thriller,The Wraith Within (2023),,,,tt6913472,898770,0,[27],['Horror'],tt6913472,"[164569, 164570, 164571]","['Looknow Productions', 'Teamwork Pictures', 'Titus Kane Productions']",10/31/22,0,90,The Wraith Within,898770,"[147, 154778, 1570986, 3197131, 1494393, 1094233, 1819720, 3311059, 3311060, 3311062, 3311064, 3311065, 3311067, 3311068, 2129645, 3311071, 3311072, 3311073, 3311075, 3311076, 3311077, 3311078]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",[3311055],,,
29,29,29,"February 18, 2022 (United Kingdom)",1 hr 23 min,Drama Mystery Thriller,Here Before (2021),,,R,tt8649190,669400,0,"[18, 9648, 53]","['Drama', 'Mystery', 'Thriller']",tt8649190,"[288, 34456, 1898, 76992]","['BBC Film', 'Rooks Nest Entertainment', 'Fís Éireann/Screen Ireland', 'Saban Films']",2/11/22,0,83,Here Before,669400,"[127558, 76104, 215460, 1504465, 2528431, 3371061, 3065081, 3805990, 557128, 3805992, 3713719, 1914193, 2097988, 3806006]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",[3015760],20793.0,20793.0,
30,30,30,,1 hr 34 min,Thriller,8000 Ft Up (2022),,,,tt15421782,1128170,0,[53],['Thriller'],tt15421782,[113923],['Ava Media'],6/30/22,0,0,8000 Ft Up,1128170,"[4069123, 2765173, 1786095, 4069124, 4069125, 4072346]","[0, 1, 2, 3, 4, 5]",[4069127],,,
31,31,31,,,Sci-Fi Short,Dragon Fruit (2023),,,,tt14623962,931562,23682,"[18, 878]","['Drama', 'Science Fiction']",tt14623962,[168759],['Rattlesnake Films'],11/15/22,0,27,Dragon Fruit,931562,"[2547056, 1112033, 2225815, 53119, 1251584, 1432721]","[0, 1, 2, 3, 4, 5]",[2427022],,,
32,32,32,,41 min,Documentary Short,Anything Can Happen (2022),,,,tt27053938,1128175,10000,[99],['Documentary'],tt27053938,[200300],['Bare Hand Films'],7/22/22,0,42,Anything Can Happen,1128175,[4066986],[0],[4066988],,,
33,33,33,,40 min,Crime Short,Henko (2022),,,,tt27789228,1128190,0,"[18, 80]","['Drama', 'Crime']",tt27789228,[200303],['Millennium Cinematografica'],1/1/22,0,40,Henko,1128190,"[3889473, 4067029, 4067030, 3057991]","[0, 1, 2, 3]",[4067031],,,
34,34,34,"February 17, 2022 (United Arab Emirates)",1 hr 29 min,Crime Drama Thriller,Kimi (2022),,,R,tt14128670,800510,3500000,"[80, 53]","['Crime', 'Thriller']",tt14128670,"[12, 158691]","['New Line Cinema', 'HBO Max']",2/10/22,0,89,Kimi,800510,"[37153, 1687573, 545087, 21711, 2141051, 59153, 134424, 11516, 16429, 12931, 53364, 2972458, 3420607, 3420610, 2735278, 3420612, 3420615, 12831, 3420616, 1836986, 1709422, 54044, 2433254, 3149100, 1288787, 22214, 95875, 1903660, 2564027, 3245176, 156511, 1463282, 1523924, 1891990, 3420618, 3420620, 3420621, 3420622, 3420623, 1177995, 3420624]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",[1884],63155.0,63155.0,
35,35,35,"January 16, 2020 (Netherlands)",29 min,Animation Comedy Drama Short,Mind My Mind (2019),,,,tt9445988,636688,0,"[16, 18, 35]","['Animation', 'Drama', 'Comedy']",tt9445988,[],[],1/13/22,0,28,Mind My Mind,636688,"[2431045, 2431047, 2431048, 2431049, 2431050, 2431051]","[0, 1, 2, 3, 4, 5]",[2424980],34429.0,34429.0,
36,36,36,"November 4, 2022 (Iceland)",2 hr 41 min,Action Adventure Drama Sci-Fi,Black Panther: Wakanda Forever (2022),Walt Disney Studios Motion Pictures,181339761.0,PG-13,tt9114286,505642,250000000,"[28, 12, 878]","['Action', 'Adventure', 'Science Fiction']",tt9114286,[420],['Marvel Studios'],11/9/22,859102154,162,Black Panther: Wakanda Forever,505642,"[1083010, 1267329, 82104, 1447932, 2133996, 87265, 9780, 139900, 1368012, 2213811, 25703, 992386, 31512, 165424, 4812, 1181397, 7060, 15886, 31028, 135651, 1979169, 1187540, 1431508, 131133, 81097, 1979176, 1580160, 3783370, 1979170, 2639668, 3271487, 2721476, 1200635, 3783366, 3783367, 3009829, 3783374, 167197, 3783383, 1554064, 3272149, 1936486, 2145383, 1217309, 3783392, 1655358, 1367313, 1718655, 1934535, 3783396, 3783398, 121204, 3063865, 3783401, 3783403, 3783404, 3783405, 3783406, 3783407, 3783408, 1460794, 1460792, 3577420, 8666, 2113850, 3720013, 3320451, 168147, 2557488, 2700648, 3783409, 1510786, 1496728, 2303244, 3783410, 3783411, 3783412, 3783413, 172069]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]",[1056121],453829060.0,405379776.0,859208836.0
37,37,37,,1 hr 34 min,Documentary,Never Forget Tibet (2022),,,,tt8459190,931639,0,[99],['Documentary'],tt8459190,"[15746, 14262]","['Red Rock Entertainment', 'Templeheart Films']",3/31/22,0,94,Never Forget Tibet,931639,[67315],[0],[2254500],,,
38,38,38,,1 hr 24 min,Documentary History Reality-TV,Ghost Adventures: Devil's Den (2022),,,,tt22397628,1128258,0,"[99, 10770]","['Documentary', 'TV Movie']",tt22397628,[],[],9/29/22,0,0,Ghost Adventures: Devil's Den,1128258,"[104776, 104778, 1930107, 1468964]","[0, 1, 2, 3]",[],,,
39,39,39,,1 hr 44 min,Comedy Romance Sci-Fi,Moonshot (2022),,,PG-13,tt12585076,767825,0,"[35, 10749, 878]","['Comedy', 'Romance', 'Science Fiction']",tt12585076,"[78984, 27711, 12]","['Entertainment 360', 'Berlanti Productions', 'New Line Cinema']",5/5/22,0,104,Moonshot,767825,"[56730, 1452046, 2174509, 1568101, 87194, 1475128, 5367, 1492327, 3169511, 1198725, 1371509, 20817, 3487921, 3418880, 1466540, 2239477, 2720295, 3487930, 2806735, 2801423, 117311, 3487938, 963939, 3704160]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",[1780451],,,
40,40,40,,54 min,Documentary,When Pigs Escape (2022),,,,tt23666142,1095505,4000,[],[],tt23666142,[],[],11/19/22,0,54,When Pigs Escape,1095505,[],[],[],,,
41,41,41,,1 hr 31 min,Documentary,Soothe Your Senses (2022),,,,tt27791389,1128335,0,[99],['Documentary'],tt27791389,[200326],['The Love Destination'],1/1/22,0,91,Soothe Your Senses,1128335,[4067668],[0],[4067668],,,
42,42,42,,13 min,Adventure Short,The Adventures of Brooklyn Barnes (2022),,,,tt22881860,1030038,0,"[12, 35, 28]","['Adventure', 'Comedy', 'Action']",tt22881860,[],[],4/30/22,0,13,The Adventures of Brooklyn Barnes,1030038,"[3512827, 3721157, 3721158]","[0, 1, 2]",[3721159],,,
43,43,43,"March 3, 2022 (New Zealand)",1 hr 29 min,Documentary,Carbon - The Unauthorised Biography (2022),,,,tt17939566,931766,1400000,[99],['Documentary'],tt17939566,"[59652, 114069, 12113]","['Genepool Productions', 'Handful of Films', 'CBC']",3/31/22,0,86,Carbon: The Unauthorised Biography,931766,"[235416, 550307, 1992871, 1089651]","[0, 1, 2, 3]","[1242784, 2021689]",10368.0,10368.0,
44,44,44,,12 min,Comedy Short,Enloquecer (2022),,,,tt20770946,1030090,0,[],[],tt20770946,[],[],3/2/22,0,12,Enloquecer,1030090,"[1721773, 1799456, 3721398, 3413427, 3595699]","[0, 1, 2, 3, 4]",[3329181],,,
45,45,45,"May 13, 2022 (Domestic)",1 hr 52 min,Action Crime Thriller Western,The Last Victim (2021),Decal Releasing,,,tt11242718,866254,0,"[80, 53, 37, 9648, 28]","['Crime', 'Thriller', 'Western', 'Mystery', 'Action']",tt11242718,[156903],['Decal'],5/13/22,0,103,The Last Victim,866254,"[17303, 2372, 202032, 77223, 232, 1002369, 558343, 1475834, 1683952, 136224, 2814731, 1396845]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[969145],2428.0,2428.0,
46,46,46,,1 hr 33 min,Crime Drama Mystery Romance,The Hanging Sun (2022),,,,tt6986990,866267,0,"[80, 18, 53, 9648]","['Crime', 'Drama', 'Thriller', 'Mystery']",tt6986990,"[86177, 10102, 115535, 21649]","['Groenlandia', 'Cattleya', 'Vision Distribution', 'Sky Cinema']",9/12/22,0,93,The Hanging Sun,866267,"[1395660, 567269, 55585, 1312122, 3566973, 4391, 3064, 1580675, 208460, 4054897, 2682027, 4054901, 1337448]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[1617013],,,
47,47,47,,29 min,Documentary Short,We Love Life (2022),,,,tt19401044,964573,0,[99],['Documentary'],tt19401044,[],[],4/25/22,0,29,We Love Life,964573,[],[],[3513445],,,
48,48,48,"November 30, 2022 (APAC, EMEA)",1 hr 52 min,Action Comedy Thriller,Violent Night (2022),Universal Pictures,13450240.0,R,tt12003946,899112,20000000,"[28, 35, 80, 53]","['Action', 'Comedy', 'Crime', 'Thriller']",tt12003946,"[121470, 33]","['87North Productions', 'Universal Pictures']",11/30/22,75734910,112,Violent Night,899112,"[35029, 5723, 821, 178634, 2273501, 205213, 55086, 3607144, 1150197, 32205, 64674, 2852725, 2284578, 1711895, 1634845, 3814629, 3857752, 2154533, 1634862, 61160, 33051, 1758796, 75814, 3199125, 1303813, 1148697, 2487559, 1860399, 1731643, 1860398, 3244148, 3857760, 2565695, 1292553, 1940037, 1356248, 1849155, 2045140, 2090233, 1126913, 1896599, 2473588, 1131844, 1940064, 1503899, 3814628, 3789812]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",[76927],50057405.0,25947000.0,76004405.0
49,49,49,,2 hr 8 min,Crime Horror Mystery Thriller,The Pale Blue Eye (2022),,,R,tt14138650,800815,72000000,"[53, 9648, 27, 80]","['Thriller', 'Mystery', 'Horror', 'Crime']",tt14138650,"[10246, 47169]","['Cross Creek Pictures', 'Le Grisbi Productions']",12/22/22,0,130,The Pale Blue Eye,800815,"[3894, 10982, 86232, 13014, 16358, 9191, 3087, 2399836, 12214, 4273, 2311924, 2099497, 1651962, 2236058, 1590221, 1232484, 8549, 130228, 2403026, 2684944, 3861819, 49918, 1779454, 1297771, 3861820, 3766614]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",[65167],,,
50,50,50,,1 hr 47 min,Fantasy,Violet's Prey and the Vampire Slayer (2022),,,,tt27796157,1128569,0,[14],['Fantasy'],tt27796157,[200379],['KP Ghost Productions'],1/1/22,0,107,Violet's Prey And The Vampire Slayer,1128569,"[4068737, 1498276]","[0, 1]",[1807181],,,
51,51,51,,45 min,Animation,Grievance Gulch (2022),,,,tt27796696,1128598,10000,"[16, 35]","['Animation', 'Comedy']",tt27796696,[200390],['Scene Shop LLC'],1/1/22,0,45,Grievance Gulch,1128598,[4068883],[0],[3729548],,,
52,52,52,"July 7, 2022 (EMEA, APAC)",2 hr 25 min,Drama,Shareek 2 (2022),,,,tt15018474,997526,0,[],[],tt15018474,[],[],7/8/22,0,0,Shareek 2,997526,"[35792, 1602191, 3616591, 140679, 227326]","[0, 1, 2, 3, 4]",[86629],114065.0,114065.0,
53,53,53,"September 8, 2022 (EMEA, LATAM)",1 hr 44 min,Comedy Romance,Ticket to Paradise (2022),Universal Pictures,16509095.0,PG-13,tt14109724,800939,20000000,"[35, 10749]","['Comedy', 'Romance']",tt14109724,"[10163, 1782, 2455, 162558]","['Working Title Films', 'Smoke House Pictures', 'Red Om Films', 'Fin Design & Effects']",9/8/22,168763270,104,Ticket to Paradise,800939,"[1204, 1461, 481337, 1308133, 1399531, 2417980, 10760, 3753662, 1915145, 1416868, 1852576, 1674796, 3586919, 3754744, 3754749, 3754751, 3754752, 3754753, 3754754, 3754756, 3754757, 3754760, 3511007, 2617384]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",[17510],68275985.0,100491494.0,168767479.0
